N Proj,Promotor,Designacao,Instrumento,Aviso,Aut Gestao,Org Intermedio,Concelho,Regiao,Sector,CAE (Rev3),Estrategia de Eficiencia Colectiva,Data de Aprovacao,Investimento Elegivel,Incentivo,N Contribuinte do Promotor
31953,"CARLOS E HUGO-TURISMO DE NATUREZA, LDA",CASA DO MEZIO HOTEL RURAL****,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,TP,Arcos de Valdevez,Norte,Turismo,55202 - Turismo no espaco rural,,20-Mar-13,2627522,1698801,510220398
31966,"CLIPER CERaMICA, SA",PRODUcaO DE PRODUTOS DE ELEVADO VALOR ACRESCENTADO COM VISTA a DIVERSIFICAcaO DE MERCADOS,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Figueira da Foz,Centro,Industria,"23312 - Fabricacao de ladrilhos, mosaicos e placas de ceramica",,20-Mar-13,651373,358240,508189314
31975,"BIG MAQ - SERVIcOS DE MAQUINAcaO DE MOLDES, LDA",INOVAcaO NOS PROCESSOS - INTRODUcaO DE TECNOLOGIA DE PONTA ALIADA AO RECONHECIMENTO NA QUALIDADE,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Arouca,Norte,Industria,25734 - Fabricacao de moldes metalicos,,20-Mar-13,2493923,1621050,507620917
31941,"ATB - ACABAMENTOS TeXTEIS DE BARCELOS, LDA",NOVA ESTRATeGIA DE INOVAcaO E INTERNACIONALIZAcaO DA ATB,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Barcelos,Norte,Industria,13301 - Branqueamento e tingimento,,20-Mar-13,2522085,1386852,501638733
31984,"GRANITOS GALRaO NORTE, LDA",LIGHT MARKET - TECHNOLOGIC SOLUTION FOR LIGHT STONE PRODUCTS,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Moncao,Norte,Industria,"23703 - Fabricacao de artigos de granito e de rochas, ne",,20-Mar-13,625215,343868,502247185
31988,"MICROPLaSTICOS, SA",EXPANSaO DA ACTIVIDADE E MODERNIZAcaO DE PROCESSOS PARA ACOLHIMENTO DE PROJECTOS FORTEMENTE INOVADORES,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Figueira da Foz,Centro,Industria,"22292 - Fabricacao de outros artigos de plastico, ne",,20-Mar-13,2111279,1160944,501885277
32099,ASSOC INDUSTRIAL PORTUGUESA - CaMARA DE COMeRCIO E INDuSTRIA,MAIS INDuSTRIA + PRODUTIVIDADE,SI Qualificacao PME/Projectos Conjuntos,11/SI/2012,PO FC,IAPMEI,Multi-Concelhos,Multi-Regioes,Industria,13 - Fabricacao de texteis,PCT das Tecnologias de Producao,20-Mar-13,1826121,835196,500032335
31896,"JLS - TRANSPORTES INTERNACIONAIS, SA",ITS - INTELLIGENT TRANSPORT SERVICES PLATFORM,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Viseu,Centro,Transportes,49410 - Transportes rodoviarios de mercadorias,,20-Mar-13,594349,267457,502301422
31901,"FENABEL INDUSTRIA DE MOBILIARIO, LDA","O ACTUAL PROJECTO ENQUADRA-SE NO SISTEMA DE INCENTIVO a INOVAcaO, TIPLOLOGIA ADOPcaO DE NOVOS OU SIGNIFICATIVAMENTE MELHORADOS, PROCESSOS OU MeTODOS DE FABRICO",SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Paredes,Norte,Industria,31091 - Fabricacao de mobiliario de madeira para outros fins,,20-Mar-13,265000,145750,502815795
31902,"METALOVIANA - METALuRGICA DE VIANA, SA","MELHORIA DE COMPETITIVIDADE PELA ADOcaO NOVOS PROCESSOS, QUALIFICAcaO DAS EQUIPAS E INTERNACIONALIZAcaO",SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Viana do Castelo,Norte,Industria,25110 - Fabricacao de estruturas de construcoes metalicas,,20-Mar-13,1505146,828525,501349197
